Ticker;BuySell;EntryDate;EntryPrice;ExitDate;ExitPrice;Pnl;nContracts;MAE;MFE
DIA;1;06.10.2011 08:59:00;109.905;07.10.2011 09:59:00;110.695;35.55;45;0;0
DIA;1;10.10.2011 08:59:00;112.505;11.10.2011 08:59:00;113.775;57.15;45;0;0
DIA;1;04.11.2011 09:59:00;120.135;07.11.2011 11:59:00;119.145;-40.59;41;0;0
DIA;1;09.11.2011 09:59:00;119.355;10.11.2011 09:59:00;118.445;-37.31;41;0;0
DIA;1;28.11.2011 09:59:00;114.405;29.11.2011 10:59:00;115.645;55.8;45;0;0
DIA;1;02.12.2011 09:59:00;121.585;05.12.2011 12:59:00;121.205;-15.58;41;0;0
DIA;1;26.01.2012 09:59:00;127.425;27.01.2012 12:59:00;127.295;-5.07;39;0;0
DIA;1;01.02.2012 09:59:00;126.835;02.02.2012 12:59:00;126.685;-5.85;39;0;0
DIA;1;08.03.2012 09:59:00;129.315;09.03.2012 12:59:00;129.075;-9.36;39;0;0
DIA;1;11.04.2012 08:59:00;128.015;12.04.2012 10:59:00;128.385;14.43;39;0;0
DIA;1;25.04.2012 08:59:00;130.765;26.04.2012 10:59:00;130.595;-6.46;38;0;0
DIA;1;09.05.2012 08:59:00;128.245;10.05.2012 11:59:00;128.715;18.33;39;0;0
DIA;1;11.05.2012 08:59:00;127.765;14.05.2012 09:59:00;127.185;-22.62;39;0;0
DIA;1;16.05.2012 08:59:00;126.445;17.05.2012 10:59:00;126.095;-14;40;0;0
DIA;1;21.05.2012 08:59:00;124.005;22.05.2012 11:59:00;125.105;44;40;0;0
DIA;1;29.05.2012 08:59:00;124.975;30.05.2012 10:59:00;125.025;2;40;0;0
DIA;1;06.06.2012 08:59:00;122.175;07.06.2012 10:59:00;124.165;79.6;40;0;0
DIA;1;11.06.2012 08:59:00;126.475;12.06.2012 11:59:00;124.155;-92.8;40;0;0
DIA;1;20.06.2012 08:59:00;128.375;21.06.2012 11:59:00;127.995;-14.82;39;0;0
DIA;1;29.06.2012 08:59:00;126.675;02.07.2012 11:59:00;128.495;72.8;40;0;0
DIA;1;11.07.2012 08:59:00;125.715;12.07.2012 10:59:00;124.925;-30.81;39;0;0
DIA;1;06.09.2012 08:59:00;130.995;07.09.2012 12:59:00;132.875;71.44;38;0;0
DIA;1;11.10.2012 08:59:00;133.675;12.10.2012 10:59:00;133.395;-10.36;37;0;0
DIA;1;25.10.2012 08:59:00;131.005;26.10.2012 12:59:00;130.635;-14.06;38;0;0
DIA;1;31.10.2012 09:59:00;131.405;01.11.2012 13:59:00;131.845;16.72;38;0;0
DIA;1;12.12.2012 09:59:00;132.995;13.12.2012 10:59:00;132.395;-22.2;37;0;0
DIA;1;18.12.2012 09:59:00;132.975;19.12.2012 12:59:00;133.525;20.35;37;0;0
DIA;1;26.12.2012 09:59:00;131.205;27.12.2012 13:59:00;130.915;-11.02;38;0;0
DIA;1;02.01.2013 09:59:00;132.205;03.01.2013 09:59:00;133.515;49.78;38;0;0
DIA;1;18.01.2013 09:59:00;135.685;22.01.2013 10:59:00;136.075;14.43;37;0;0
DIA;1;05.03.2013 09:59:00;141.455;06.03.2013 11:59:00;142.755;45.5;35;0;0
DIA;1;19.04.2013 08:59:00;145.195;22.04.2013 08:59:00;145.645;15.3;34;0;0
DIA;1;25.04.2013 08:59:00;147.105;26.04.2013 10:59:00;146.555;-18.7;34;0;0
DIA;1;15.05.2013 08:59:00;152.035;16.05.2013 10:59:00;152.725;22.08;32;0;0
DIA;1;07.06.2013 08:59:00;150.295;10.06.2013 09:59:00;152.545;74.25;33;0;0
DIA;1;26.06.2013 08:59:00;147.655;27.06.2013 08:59:00;148.945;43.86;34;0;0
DIA;1;02.07.2013 08:59:00;149.585;03.07.2013 08:59:00;148.385;-39.6;33;0;0
DIA;1;12.07.2013 08:59:00;154.485;15.07.2013 12:59:00;154.445;-1.28;32;0;0
DIA;1;16.08.2013 08:59:00;150.995;19.08.2013 11:59:00;150.185;-26.73;33;0;0
DIA;1;22.08.2013 08:59:00;148.855;23.08.2013 11:59:00;149.365;16.83;33;0;0
